monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date,service_id
0,0,0,0,0,0,1,20260411,20260420,25
0,0,0,0,0,0,1,20260411,20260426,60
0,0,0,0,0,0,1,20260411,20260506,268
0,0,0,0,0,0,1,20260412,20260419,137
0,0,0,0,0,0,1,20260412,20260419,602
0,0,0,0,0,0,1,20260412,20260420,417
0,0,0,0,0,0,1,20260412,20260426,211
0,0,0,0,0,0,1,20260412,20260426,99
0,0,0,0,0,0,1,20260412,20260503,1019
0,0,0,0,0,0,1,20260412,20260510,148
0,0,0,0,0,0,1,20260412,20260510,172
0,0,0,0,0,0,1,20260412,20260510,757
0,0,0,0,0,0,1,20260417,20260426,673
0,0,0,0,0,0,1,20260417,20260427,827
0,0,0,0,0,0,1,20260418,20260419,342
0,0,0,0,0,0,1,20260418,20260426,401
0,0,0,0,0,0,1,20260418,20260501,898
0,0,0,0,0,0,1,20260419,20260426,70
0,0,0,0,0,0,1,20260419,20260503,220
0,0,0,0,0,0,1,20260419,20260503,985
0,0,0,0,0,0,1,20260419,20260510,255
0,0,0,0,0,0,1,20260419,20260510,677
0,0,0,0,0,0,1,20260419,20260510,682
0,0,0,0,0,0,1,20260419,20260510,872
0,0,0,0,0,0,1,20260426,20260503,706
0,0,0,0,0,0,1,20260426,20260510,226
0,0,0,0,0,0,1,20260426,20260510,305
0,0,0,0,0,0,1,20260501,20260510,28
0,0,0,0,0,0,1,20260501,20260511,768
0,0,0,0,0,0,1,20260502,20260510,95
0,0,0,0,0,0,1,20260503,20260510,133
0,0,0,0,0,0,1,20260503,20260510,605
0,0,0,0,0,1,0,20260411,20260418,963
0,0,0,0,0,1,0,20260411,20260419,903
0,0,0,0,0,1,0,20260411,20260425,282
0,0,0,0,0,1,0,20260411,20260425,932
0,0,0,0,0,1,0,20260411,20260426,335
0,0,0,0,0,1,0,20260411,20260502,674
0,0,0,0,0,1,0,20260411,20260502,874
0,0,0,0,0,1,0,20260411,20260509,21
0,0,0,0,0,1,0,20260411,20260509,322
0,0,0,0,0,1,0,20260411,20260509,599
0,0,0,0,0,1,0,20260411,20260509,892
0,0,0,0,0,1,0,20260411,20260509,991
0,0,0,0,0,1,0,20260417,20260426,481
0,0,0,0,0,1,0,20260418,20260425,395
0,0,0,0,0,1,0,20260418,20260502,1006
0,0,0,0,0,1,0,20260418,20260502,248
0,0,0,0,0,1,0,20260418,20260504,349
0,0,0,0,0,1,0,20260418,20260509,257
0,0,0,0,0,1,0,20260418,20260509,448
0,0,0,0,0,1,0,20260425,20260502,231
0,0,0,0,0,1,0,20260425,20260503,48
0,0,0,0,0,1,0,20260425,20260504,468
0,0,0,0,0,1,0,20260425,20260509,791
0,0,0,0,0,1,0,20260425,20260509,941
0,0,0,0,0,1,0,20260501,20260509,723
0,0,0,0,0,1,0,20260501,20260510,889
0,0,0,0,0,1,0,20260502,20260509,373
0,0,0,0,0,1,0,20260502,20260509,476
0,0,0,0,0,1,1,20260411,20260412,208
0,0,0,0,0,1,1,20260411,20260418,537
0,0,0,0,0,1,1,20260411,20260419,267
0,0,0,0,0,1,1,20260411,20260426,330
0,0,0,0,0,1,1,20260411,20260426,418
0,0,0,0,0,1,1,20260411,20260430,850
0,0,0,0,0,1,1,20260411,20260501,798
0,0,0,0,0,1,1,20260411,20260503,549
0,0,0,0,0,1,1,20260411,20260503,820
0,0,0,0,0,1,1,20260411,20260510,143
0,0,0,0,0,1,1,20260411,20260510,244
0,0,0,0,0,1,1,20260411,20260510,260
0,0,0,0,0,1,1,20260411,20260510,546
0,0,0,0,0,1,1,20260411,20260510,698
0,0,0,0,0,1,1,20260411,20260510,733
0,0,0,0,0,1,1,20260411,20260510,97
0,0,0,0,0,1,1,20260411,20260511,1012
0,0,0,0,0,1,1,20260412,20260419,431
0,0,0,0,0,1,1,20260412,20260503,472
0,0,0,0,0,1,1,20260412,20260510,262
0,0,0,0,0,1,1,20260412,20260510,608
0,0,0,0,0,1,1,20260417,20260430,501
0,0,0,0,0,1,1,20260417,20260503,822
0,0,0,0,0,1,1,20260418,20260419,11
0,0,0,0,0,1,1,20260418,20260425,56
0,0,0,0,0,1,1,20260418,20260426,485
0,0,0,0,0,1,1,20260418,20260427,744
0,0,0,0,0,1,1,20260418,20260430,669
0,0,0,0,0,1,1,20260418,20260503,498
0,0,0,0,0,1,1,20260418,20260503,754
0,0,0,0,0,1,1,20260418,20260510,110
0,0,0,0,0,1,1,20260418,20260510,213
0,0,0,0,0,1,1,20260418,20260510,933
0,0,0,0,0,1,1,20260419,20260425,218
0,0,0,0,0,1,1,20260419,20260426,664
0,0,0,0,0,1,1,20260419,20260503,79
0,0,0,0,0,1,1,20260425,20260426,777
0,0,0,0,0,1,1,20260425,20260503,823
0,0,0,0,0,1,1,20260425,20260503,858
0,0,0,0,0,1,1,20260425,20260510,405
0,0,0,0,0,1,1,20260425,20260510,412
0,0,0,0,0,1,1,20260425,20260510,942
0,0,0,0,0,1,1,20260429,20260510,894
0,0,0,0,0,1,1,20260501,20260510,863
0,0,0,0,0,1,1,20260501,20260510,895
0,0,0,0,0,1,1,20260501,20260511,367
0,0,0,0,0,1,1,20260502,20260503,730
0,0,0,0,0,1,1,20260502,20260510,899
0,0,0,0,0,1,1,20260502,20260511,742
0,0,0,0,0,1,1,20260509,20260510,873
0,0,0,0,1,0,0,20260417,20260424,978
0,0,0,0,1,0,0,20260417,20260426,630
0,0,0,0,1,0,0,20260417,20260508,72
0,0,0,0,1,0,0,20260424,20260501,699
0,0,0,0,1,0,0,20260424,20260508,324
0,0,0,0,1,0,0,20260424,20260508,641
0,0,0,0,1,0,0,20260501,20260508,107
0,0,0,0,1,0,0,20260501,20260511,828
0,0,0,0,1,0,1,20260412,20260419,245
0,0,0,0,1,0,1,20260412,20260426,281
0,0,0,0,1,0,1,20260412,20260510,443
0,0,0,0,1,0,1,20260417,20260508,612
0,0,0,0,1,0,1,20260424,20260426,177
0,0,0,0,1,0,1,20260426,20260501,813
0,0,0,0,1,0,1,20260426,20260503,964
0,0,0,0,1,0,1,20260501,20260503,966
0,0,0,0,1,0,1,20260503,20260508,445
0,0,0,0,1,0,1,20260503,20260510,209
0,0,0,0,1,0,1,20260508,20260510,632
0,0,0,0,1,1,0,20260411,20260417,138
0,0,0,0,1,1,0,20260411,20260426,114
0,0,0,0,1,1,0,20260417,20260418,36
0,0,0,0,1,1,0,20260417,20260418,527
0,0,0,0,1,1,0,20260417,20260418,649
0,0,0,0,1,1,0,20260417,20260418,852
0,0,0,0,1,1,0,20260417,20260426,779
0,0,0,0,1,1,0,20260417,20260503,793
0,0,0,0,1,1,0,20260417,20260509,134
0,0,0,0,1,1,0,20260417,20260509,61
0,0,0,0,1,1,0,20260418,20260424,40
0,0,0,0,1,1,0,20260418,20260426,564
0,0,0,0,1,1,0,20260424,20260425,690
0,0,0,0,1,1,0,20260424,20260502,6
0,0,0,0,1,1,0,20260425,20260501,486
0,0,0,0,1,1,0,20260501,20260502,19
0,0,0,0,1,1,0,20260501,20260502,652
0,0,0,0,1,1,0,20260501,20260502,755
0,0,0,0,1,1,0,20260501,20260502,90
0,0,0,0,1,1,0,20260502,20260508,645
0,0,0,0,1,1,0,20260502,20260509,943
0,0,0,0,1,1,0,20260508,20260509,332
0,0,0,0,1,1,1,20260411,20260419,897
0,0,0,0,1,1,1,20260411,20260510,524
0,0,0,0,1,1,1,20260412,20260419,188
0,0,0,0,1,1,1,20260417,20260419,403
0,0,0,0,1,1,1,20260417,20260425,174
0,0,0,0,1,1,1,20260417,20260425,814
0,0,0,0,1,1,1,20260417,20260508,189
0,0,0,0,1,1,1,20260417,20260510,420
0,0,0,0,1,1,1,20260419,20260426,42
0,0,0,0,1,1,1,20260424,20260426,149
0,0,0,0,1,1,1,20260424,20260510,366
0,0,0,0,1,1,1,20260425,20260501,364
0,0,0,0,1,1,1,20260425,20260503,746
0,0,0,0,1,1,1,20260426,20260503,312
0,0,0,0,1,1,1,20260501,20260503,203
0,0,0,0,1,1,1,20260501,20260510,840
0,0,0,0,1,1,1,20260502,20260510,375
0,0,0,0,1,1,1,20260503,20260510,773
0,0,0,0,1,1,1,20260508,20260510,20
0,0,0,1,0,0,0,20260416,20260423,972
0,0,0,1,0,0,0,20260423,20260430,741
0,0,0,1,0,0,1,20260412,20260416,161
0,0,0,1,0,0,1,20260412,20260423,410
0,0,0,1,0,0,1,20260412,20260423,609
0,0,0,1,0,0,1,20260416,20260419,848
0,0,0,1,0,0,1,20260418,20260428,283
0,0,0,1,0,0,1,20260426,20260430,182
0,0,0,1,0,0,1,20260503,20260507,361
0,0,0,1,0,0,1,20260507,20260510,929
0,0,0,1,0,1,0,20260411,20260416,833
0,0,0,1,0,1,0,20260413,20260425,345
0,0,0,1,0,1,0,20260416,20260418,376
0,0,0,1,0,1,0,20260430,20260502,640
0,0,0,1,0,1,1,20260411,20260416,49
0,0,0,1,0,1,1,20260425,20260503,164
0,0,0,1,1,0,0,20260416,20260417,688
0,0,0,1,1,0,0,20260416,20260417,792
0,0,0,1,1,0,0,20260416,20260508,407
0,0,0,1,1,0,0,20260417,20260423,295
0,0,0,1,1,0,0,20260417,20260424,544
0,0,0,1,1,0,0,20260417,20260503,876
0,0,0,1,1,0,0,20260423,20260424,781
0,0,0,1,1,0,0,20260430,20260501,611
0,0,0,1,1,0,0,20260501,20260507,204
0,0,0,1,1,0,0,20260501,20260511,890
0,0,0,1,1,0,0,20260507,20260508,173
0,0,0,1,1,0,1,20260412,20260417,333
0,0,0,1,1,0,1,20260416,20260419,610
0,0,0,1,1,1,0,20260411,20260419,944
0,0,0,1,1,1,0,20260411,20260421,135
0,0,0,1,1,1,0,20260416,20260418,775
0,0,0,1,1,1,0,20260430,20260502,160
0,0,0,1,1,1,0,20260507,20260509,404
0,0,0,1,1,1,1,20260416,20260419,284
0,0,0,1,1,1,1,20260428,20260511,627
0,0,0,1,1,1,1,20260430,20260503,353
0,0,0,1,1,1,1,20260501,20260511,865
0,0,0,1,1,1,1,20260502,20260511,676
0,0,1,0,0,0,1,20260412,20260415,57
0,0,1,0,0,0,1,20260503,20260506,720
0,0,1,0,0,0,1,20260503,20260510,550
0,0,1,0,0,1,0,20260418,20260425,101
0,0,1,0,0,1,0,20260425,20260429,84
0,0,1,0,1,0,0,20260429,20260501,269
0,0,1,0,1,0,0,20260501,20260506,285
0,0,1,0,1,0,1,20260412,20260417,391
0,0,1,0,1,1,0,20260414,20260424,16
0,0,1,1,0,0,0,20260413,20260423,853
0,0,1,1,0,0,0,20260415,20260416,578
0,0,1,1,0,0,0,20260422,20260423,124
0,0,1,1,0,0,0,20260429,20260430,530
0,0,1,1,0,0,0,20260429,20260430,957
0,0,1,1,0,0,0,20260506,20260507,916
0,0,1,1,1,0,0,20260413,20260424,359
0,0,1,1,1,0,0,20260415,20260417,803
0,0,1,1,1,0,0,20260422,20260424,856
0,0,1,1,1,0,0,20260422,20260424,961
0,0,1,1,1,0,1,20260503,20260511,557
0,0,1,1,1,1,0,20260418,20260425,130
0,0,1,1,1,1,0,20260418,20260426,69
0,0,1,1,1,1,1,20260413,20260426,299
0,0,1,1,1,1,1,20260416,20260423,979
0,0,1,1,1,1,1,20260422,20260426,389
0,0,1,1,1,1,1,20260501,20260511,949
0,1,0,0,0,0,1,20260411,20260508,885
0,1,0,0,0,0,1,20260412,20260426,434
0,1,0,0,0,0,1,20260414,20260503,731
0,1,0,0,0,1,0,20260502,20260505,636
0,1,0,0,0,1,1,20260411,20260414,223
0,1,0,0,0,1,1,20260502,20260505,397
0,1,0,0,1,0,0,20260413,20260430,572
0,1,0,0,1,0,0,20260501,20260505,374
0,1,0,1,0,0,0,20260414,20260416,886
0,1,0,1,0,0,0,20260414,20260423,868
0,1,0,1,0,0,0,20260428,20260430,883
0,1,0,1,0,0,1,20260412,20260423,520
0,1,0,1,0,0,1,20260423,20260507,909
0,1,0,1,0,0,1,20260423,20260510,1007
0,1,0,1,0,0,1,20260503,20260511,396
0,1,0,1,0,1,1,20260428,20260510,606
0,1,0,1,0,1,1,20260428,20260511,1015
0,1,0,1,1,0,0,20260414,20260417,573
0,1,0,1,1,0,0,20260414,20260424,197
0,1,0,1,1,0,0,20260505,20260508,893
0,1,0,1,1,1,1,20260502,20260510,41
0,1,0,1,1,1,1,20260505,20260510,735
0,1,1,0,0,0,0,20260413,20260429,600
0,1,1,0,0,0,0,20260414,20260415,258
0,1,1,0,0,0,0,20260421,20260422,769
0,1,1,0,0,0,0,20260428,20260429,307
0,1,1,0,0,0,0,20260505,20260506,210
0,1,1,0,0,0,1,20260412,20260426,809
